"DataExtractDate","ReportPeriod","Terminal","Arrival_Departure","Domestic_International","Passenger_Count"
"2021 Feb 02 08:17:02 AM","2020 Dec 01 12:00:00 AM","T5","Departure","International","3,233"
"2018 Apr 18 03:12:41 PM","2012 Jul 01 12:00:00 AM","T5","Arrival","International","31,655"
"2018 Apr 18 03:12:41 PM","2017 Aug 01 12:00:00 AM","T5","Arrival","International","19,669"
"2018 Apr 18 03:12:41 PM","2012 May 01 12:00:00 AM","T7","Departure","Domestic","149,699"
"2018 Apr 18 03:12:41 PM","2016 Jul 01 12:00:00 AM","T6","Arrival","International","13,165"
"2018 Apr 18 03:12:41 PM","2017 Dec 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","128,320"
"2018 Apr 18 03:12:41 PM","2008 Apr 01 12:00:00 AM","T2","Departure","International","160,286"
"2018 Apr 18 03:12:41 PM","2016 Dec 01 12:00:00 AM","T8","Departure","Domestic","147,175"
"2018 Apr 18 03:12:41 PM","2009 Feb 01 12:00:00 AM","TBIT","Departure","International","262,667"
"2018 Apr 18 03:12:41 PM","2008 Mar 01 12:00:00 AM","T7","Arrival","Domestic","235,539"
"2019 Mar 01 11:09:59 AM","2019 Jan 01 12:00:00 AM","T4","Arrival","Domestic","352,988"
"2018 Apr 18 03:12:41 PM","2011 Oct 01 12:00:00 AM","T5","Departure","Domestic","232,946"
"2021 Apr 01 09:37:48 AM","2021 Feb 01 12:00:00 AM","T6","Arrival","International","3,495"
"2018 Apr 18 03:12:41 PM","2014 Feb 01 12:00:00 AM","T6","Arrival","International","12,333"
"2018 Apr 18 03:12:41 PM","2013 Mar 01 12:00:00 AM","T8","Arrival","Domestic","106,319"
"2018 May 23 07:44:39 AM","2018 Apr 01 12:00:00 AM","T6","Arrival","International","60,167"
"2018 Apr 18 03:12:41 PM","2012 May 01 12:00:00 AM","T8","Departure","International","4,997"
"2018 Apr 18 03:12:41 PM","2011 Oct 01 12:00:00 AM","T8","Departure","Domestic","143,616"
"2018 Apr 18 03:12:41 PM","2016 Sep 01 12:00:00 AM","T8","Departure","International","7,798"
"2018 Apr 18 03:12:41 PM","2017 Apr 01 12:00:00 AM","T8","Arrival","Domestic","156,029"
"2018 Apr 18 03:12:41 PM","2017 Aug 01 12:00:00 AM","T3","Arrival","Domestic","339,048"
"2018 Apr 18 03:12:41 PM","2009 Mar 01 12:00:00 AM","T5","Arrival","International","7,868"
"2018 Apr 18 03:12:41 PM","2010 Aug 01 12:00:00 AM","T3","Departure","International","61,693"
"2018 Apr 18 03:12:41 PM","2014 Oct 01 12:00:00 AM","T1","Departure","Domestic","347,209"
"2018 Jul 11 02:24:22 PM","2018 May 01 12:00:00 AM","T1","Departure","Domestic","414,965"
"2018 Apr 18 03:12:41 PM","2006 Apr 01 12:00:00 AM","T5","Arrival","Domestic","156,099"
"2018 Apr 18 03:12:41 PM","2012 Jul 01 12:00:00 AM","T3","Departure","Domestic","201,351"
"2018 Apr 18 03:12:41 PM","2006 Mar 01 12:00:00 AM","T7","Arrival","International","36,015"
"2018 Apr 18 03:12:41 PM","2014 Jan 01 12:00:00 AM","T7","Departure","International","40,968"
"2019 Jun 24 01:17:06 PM","2019 May 01 12:00:00 AM","T6","Arrival","Domestic","244,105"
